,Model,Domain,Result Set,Task,Language,Score
393,bloom3b,all,2,xcopa,overall,57.330000000000005
394,bloom3b,all,2,xcopa,et,52.400000000000006
395,bloom3b,all,2,xcopa,ht,51.800000000000004
396,bloom3b,all,2,xcopa,id,70.39999999999999
397,bloom3b,all,2,xcopa,it,53.400000000000006
398,bloom3b,all,2,xcopa,qu,51.2
399,bloom3b,all,2,xcopa,sw,52.2
400,bloom3b,all,2,xcopa,ta,55.800000000000004
401,bloom3b,all,2,xcopa,th,54.0
402,bloom3b,all,2,xcopa,tr,53.2
403,bloom3b,all,2,xcopa,vi,70.8
404,bloom3b,all,2,xcopa,zh,65.4
405,bloom3b,all,2,xnli,overall,40.92
406,bloom3b,all,2,xnli,ar,33.45
407,bloom3b,all,2,xnli,bg,39.2
408,bloom3b,all,2,xnli,de,40.839999999999996
409,bloom3b,all,2,xnli,el,34.300000000000004
410,bloom3b,all,2,xnli,en,55.1
411,bloom3b,all,2,xnli,es,48.88
412,bloom3b,all,2,xnli,fr,50.839999999999996
413,bloom3b,all,2,xnli,hi,43.980000000000004
414,bloom3b,all,2,xnli,ru,41.89
415,bloom3b,all,2,xnli,sw,34.82
416,bloom3b,all,2,xnli,th,36.35
417,bloom3b,all,2,xnli,tr,32.09
418,bloom3b,all,2,xnli,ur,39.0
419,bloom3b,all,2,xnli,vi,42.33
420,bloom3b,all,2,xnli,zh,40.760000000000005
421,bloom3b,all,2,xstorycloze,overall,59.63
422,bloom3b,all,2,xstorycloze,ar,59.5
423,bloom3b,all,2,xstorycloze,en,70.42
424,bloom3b,all,2,xstorycloze,es,67.5
425,bloom3b,all,2,xstorycloze,eu,56.779999999999994
426,bloom3b,all,2,xstorycloze,hi,60.160000000000004
427,bloom3b,all,2,xstorycloze,id,64.86
428,bloom3b,all,2,xstorycloze,my,48.38
429,bloom3b,all,2,xstorycloze,ru,51.74999999999999
430,bloom3b,all,2,xstorycloze,sw,54.6
431,bloom3b,all,2,xstorycloze,te,57.25
432,bloom3b,all,2,xstorycloze,zh,64.73
433,bloom3b,all,2,xwinograd,overall,70.44
434,bloom3b,all,2,xwinograd,en,78.84
435,bloom3b,all,2,xwinograd,fr,73.49
436,bloom3b,all,2,xwinograd,ja,54.33
437,bloom3b,all,2,xwinograd,pt,68.06
438,bloom3b,all,2,xwinograd,ru,55.24
439,bloom3b,all,2,xwinograd,zh,72.61999999999999
440,bloom3b,all,1,pawsx,overall,48.63
441,bloom3b,all,1,pawsx,de,46.6
442,bloom3b,all,1,pawsx,en,43.2
443,bloom3b,all,1,pawsx,es,42.0
444,bloom3b,all,1,pawsx,fr,52.949999999999996
445,bloom3b,all,1,pawsx,ja,54.05
446,bloom3b,all,1,pawsx,ko,52.6
447,bloom3b,all,1,pawsx,zh,49.0
448,bloom3b,all,1,xcopa,overall,57.440000000000005
449,bloom3b,all,1,xcopa,et,51.0
450,bloom3b,all,1,xcopa,ht,52.0
451,bloom3b,all,1,xcopa,id,71.0
452,bloom3b,all,1,xcopa,it,53.800000000000004
453,bloom3b,all,1,xcopa,qu,51.2
